Geolocation,Sex,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NCR,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,55.6,60.3,65.0,72.0,68.6,60.2,75.7,69.5,58.3,59.2,67.9,69.8,73.4
NCR,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3,52.5,57.2,63.3,69.3,66.3,60.2,73.9,69.3,56.1,54.3,62.4,63.6,67.5
CAR,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7,79.8,81.5,83.3,85.7,80.1,66.2,83.0,71.9,61.8,86.4,87.9,87.1,86.1
CAR,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.1,80.9,82.5,84.2,85.0,82.1,68.8,83.9,74.5,62.8,82.5,84.7,84.2,83.3
Region I,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6,81.1,82.4,78.3,85.6,77.4,62.7,82.3,72.5,57.1,81.7,81.4,80.9,80.3
Region I,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.2,79.4,82.2,78.9,85.5,76.4,64.1,82.7,73.2,57.1,78.1,79.1,78.6,78.0
Region II,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,77.4,87.0,85.5,90.9,87.4,67.6,90.7,76.8,62.2,86.7,87.1,83.2,83.8
Region II,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,76.4,87.2,86.9,90.2,87.0,69.7,89.7,77.6,62.7,83.3,84.4,82.6,81.4
Region III,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1,71.9,75.6,77.9,86.7,82.1,66.8,89.6,82.0,67.4,71.8,78.5,80.8,83.3
Region III,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9,69.3,74.4,77.5,86.0,81.1,68.5,88.2,82.7,66.8,67.0,73.6,75.3,77.3
