Geolocation,Level of Education,Sex,Year,Completion_Rate,Cohort_Survival_Rate,Gender_Parity_Index,Participation_Rate
NCR,Elementary,Female,2002,87.7,87.7,0.9,0.0
NCR,Elementary,Male,2002,81.3,81.3,0.9,0.0
NCR,Junior High,Female,2002,82.1,82.8,1.0,0.0
NCR,Junior High,Male,2002,68.9,71.1,1.0,0.0
NCR,Senior High,Female,2002,0.0,0.0,0.0,0.0
NCR,Senior High,Male,2002,0.0,0.0,0.0,0.0
CAR,Elementary,Female,2002,83.2,86.4,0.9,0.0
CAR,Elementary,Male,2002,72.3,74.8,0.9,0.0
CAR,Junior High,Female,2002,68.1,83.5,1.1,0.0
CAR,Junior High,Male,2002,50.8,64.6,1.1,0.0
CAR,Senior High,Female,2002,0.0,0.0,0.0,0.0
CAR,Senior High,Male,2002,0.0,0.0,0.0,0.0
Region I,Elementary,Female,2002,90.6,90.6,0.9,0.0
Region I,Elementary,Male,2002,83.3,83.4,0.9,0.0
Region I,Junior High,Female,2002,83.8,85.7,1.0,0.0
Region I,Junior High,Male,2002,74.8,76.6,1.0,0.0
Region I,Senior High,Female,2002,0.0,0.0,0.0,0.0
Region I,Senior High,Male,2002,0.0,0.0,0.0,0.0
Region II,Elementary,Female,2002,77.3,77.6,0.9,0.0
Region II,Elementary,Male,2002,68.4,69.0,0.9,0.0
Region II,Junior High,Female,2002,74.0,75.3,1.1,0.0
Region II,Junior High,Male,2002,65.7,67.4,1.1,0.0
Region II,Senior High,Female,2002,0.0,0.0,0.0,0.0
Region II,Senior High,Male,2002,0.0,0.0,0.0,0.0
Region III,Elementary,Female,2002,85.5,85.8,0.9,0.0
Region III,Elementary,Male,2002,77.3,77.7,0.9,0.0
Region III,Junior High,Female,2002,78.8,80.0,1.0,0.0
Region III,Junior High,Male,2002,67.0,68.8,1.0,0.0
Region III,Senior High,Female,2002,0.0,0.0,0.0,0.0
Region III,Senior High,Male,2002,0.0,0.0,0.0,0.0
Region IV-A,Elementary,Female,2002,82.1,82.1,0.9,0.0
Region IV-A,Elementary,Male,2002,74.2,74.2,0.9,0.0
Region IV-A,Junior High,Female,2002,83.0,83.4,1.0,0.0
Region IV-A,Junior High,Male,2002,71.4,72.1,1.0,0.0
Region IV-A,Senior High,Female,2002,0.0,0.0,0.0,0.0
Region IV-A,Senior High,Male,2002,0.0,0.0,0.0,0.0
Region IV-B,Elementary,Female,2002,75.0,75.2,0.9,0.0
Region IV-B,Elementary,Male,2002,64.0,64.3,0.9,0.0
Region IV-B,Junior High,Female,2002,80.7,80.7,1.1,0.0
Region IV-B,Junior High,Male,2002,72.6,72.9,1.1,0.0
