"4.5.1 Gender parity index in net enrolment rate"

"Geolocation";"Level of education";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"PHILIPPINES";"Ratio of girls to boys in primary education";1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"PHILIPPINES";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"PHILIPPINES";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;...;...
"PHILIPPINES";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.3;1.2;1.2;1.3;1.3;1.3;1.2;...;...
"..National Capital Region (NCR)";"Ratio of girls to boys in primary education";1.0;1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..National Capital Region (NCR)";"Ratio of girls to boys in secondary education (JHS)";1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..National Capital Region (NCR)";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;...;...
"..National Capital Region (NCR)";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.2;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.2;1.2;1.2;1.2;...;...
"..Cordillera Administrative Region (CAR)";"Ratio of girls to boys in primary education";0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Cordillera Administrative Region (CAR)";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..Cordillera Administrative Region (CAR)";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.2;1.2;1.2;1.1;1.1;1.1;1.0;1.0;...;...
"..Cordillera Administrative Region (CAR)";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.4;1.3;1.3;1.4;1.4;1.4;1.4;1.4;1.5;1.4;1.4;1.2;1.4;1.4;1.5;1.2;1.3;1.4;...;...
"..Region I";"Ratio of girls to boys in primary education";0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region I";"Ratio of girls to boys in secondary education (JHS)";1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;0.9;0.9;1.0;...;...
"..Region I";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.0;1.1;1.0;1.0;1.0;1.0;1.0;0.9;...;...
"..Region I";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.2;1.2;1.2;1.1;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.3;1.2;1.2;1.2;1.3;1.2;1.2;...;...
"..Region II";"Ratio of girls to boys in primary education";1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
