"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)"

"Indicator";"Geolocation";"Sex";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"PHILIPPINES";"Both Sexes";..;..;..;..;..;..;..;..;..;..;57.2;74.3;78.2;77.7;81.9;77.2;66.0;83.7;76.5;63.4;69.6;75.6;76.3;77.5;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"PHILIPPINES";"Girls";..;..;..;..;..;..;..;..;..;..;58.6;75.3;78.9;78.0;82.5;77.9;65.5;84.5;76.5;64.3;71.7;77.6;78.4;79.7;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"PHILIPPINES";"Boys";..;..;..;..;..;..;..;..;..;..;55.9;73.3;77.5;77.4;81.3;76.5;66.4;83.0;76.4;62.6;67.6;73.8;74.4;75.6;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..National Capital Region (NCR)";"Both Sexes";..;..;..;..;..;..;..;..;..;..;38.5;54.0;58.7;64.1;70.6;67.5;60.2;74.7;69.4;57.2;56.6;65.0;66.5;70.4;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..National Capital Region (NCR)";"Girls";..;..;..;..;..;..;..;..;..;..;39.9;55.6;60.3;65.0;72.0;68.6;60.2;75.7;69.5;58.3;59.2;67.9;69.8;73.4;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..National Capital Region (NCR)";"Boys";..;..;..;..;..;..;..;..;..;..;37.3;52.5;57.2;63.3;69.3;66.3;60.2;73.9;69.3;56.1;54.3;62.4;63.6;67.5;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Cordillera Administrative Region (CAR)";"Both Sexes";..;..;..;..;..;..;..;..;..;..;53.8;80.4;82.0;83.7;85.3;81.1;67.5;83.5;73.2;62.3;84.4;86.2;85.6;84.7;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Cordillera Administrative Region (CAR)";"Girls";..;..;..;..;..;..;..;..;..;..;54.7;79.8;81.5;83.3;85.7;80.1;66.2;83.0;71.9;61.8;86.4;87.9;87.1;86.1;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Cordillera Administrative Region (CAR)";"Boys";..;..;..;..;..;..;..;..;..;..;53.1;80.9;82.5;84.2;85.0;82.1;68.8;83.9;74.5;62.8;82.5;84.7;84.2;83.3;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region I";"Both Sexes";..;..;..;..;..;..;..;..;..;..;77.3;80.2;82.3;78.6;85.5;76.9;63.4;82.5;72.8;57.1;79.8;80.2;79.7;79.1;...;...
